orderid,customerid,productid,employeeid,orderdate,productprice,productquantity,totalamount
1,157,34,10,2024/06/06,7890.12,3,23670.36
2,180,29,4,2024/06/05,9876.54,3,29629.62
3,33,26,4,2024/06/07,9876.54,3,29629.62
4,26,2,3,2024/06/07,56749.78,3,170249.34
5,153,46,3,2024/06/07,9876.54,4,39506.16
6,28,60,2,2024/06/07,7890.12,4,31560.48
7,18,3,7,2024/06/06,19876.45,2,39752.9
8,60,34,2,2024/06/06,7890.12,3,23670.36
9,32,48,9,2024/06/07,5678.9,5,28394.5
10,42,57,10,2024/06/06,98765.43,5,493827.15
11,74,7,7,2024/06/07,98765.43,3,296296.29
12,111,34,4,2024/06/07,7890.12,3,23670.36
13,99,39,4,2024/06/06,34567.89,1,34567.89
14,14,14,3,2024/06/05,67890.12,3,203670.36
15,119,26,10,2024/06/06,9876.54,4,39506.16
16,133,24,4,2024/06/05,4567.89,5,22839.45
17,31,56,8,2024/06/07,87654.32,3,262962.96
18,40,18,10,2024/06/06,98765.43,5,493827.15
19,183,54,2,2024/06/07,23456.78,5,117283.9
20,115,17,9,2024/06/07,34567.89,4,138271.56
21,66,54,1,2024/06/05,23456.78,2,46913.56
22,80,1,7,2024/06/06,23456.78,5,117283.9
23,168,14,9,2024/06/05,67890.12,1,67890.12
24,94,53,4,2024/06/07,5678.9,5,28394.5
25,115,12,2,2024/06/07,98765.43,5,493827.15
26,109,37,5,2024/06/06,78901.23,4,315604.92
27,195,49,1,2024/06/05,7890.12,5,39450.6
28,135,59,8,2024/06/06,45678.9,1,45678.9
29,59,55,5,2024/06/05,7890.12,1,7890.12
30,127,2,1,2024/06/07,56749.78,4,226999.12
31,168,37,6,2024/06/05,78901.23,2,157802.46
32,53,23,7,2024/06/07,9876.54,5,49382.7
33,151,31,9,2024/06/07,5678.9,3,17036.7
34,125,16,5,2024/06/05,45678.9,4,182715.6
35,134,44,1,2024/06/05,34567.89,4,138271.56
36,47,5,7,2024/06/06,34567.89,4,138271.56
37,1,60,4,2024/06/05,7890.12,1,7890.12
38,3,48,4,2024/06/07,5678.9,3,17036.7
39,52,36,7,2024/06/06,87654.32,1,87654.32
40,114,59,9,2024/06/07,45678.9,2,91357.8
41,96,36,1,2024/06/05,87654.32,1,87654.32
42,54,44,5,2024/06/07,34567.89,5,172839.45
43,156,55,8,2024/06/06,7890.12,5,39450.6
44,16,2,6,2024/06/06,56749.78,3,170249.34
45,22,20,6,2024/06/05,56789.01,3,170367.03
46,40,30,6,2024/06/07,12345.67,5,61728.35
47,92,31,2,2024/06/07,5678.9,2,11357.8
48,62,7,8,2024/06/07,98765.43,1,98765.43
49,42,60,10,2024/06/06,7890.12,3,23670.36
50,109,10,1,2024/06/05,45678.9,5,228394.5
51,60,58,3,2024/06/06,23456.78,3,70370.34
52,180,39,2,2024/06/06,34567.89,2,69135.78
53,16,44,10,2024/06/06,34567.89,4,138271.56
54,157,48,1,2024/06/05,5678.9,5,28394.5
55,190,20,7,2024/06/07,56789.01,2,113578.02
56,99,31,8,2024/06/06,5678.9,5,28394.5
57,171,18,10,2024/06/07,98765.43,3,296296.29
58,64,13,5,2024/06/05,23456.78,3,70370.34
59,31,4,7,2024/06/05,45678.9,4,182715.6
60,19,48,5,2024/06/07,5678.9,2,11357.8
61,141,13,10,2024/06/05,23456.78,1,23456.78
62,143,45,3,2024/06/06,5678.9,4,22715.6
63,156,44,3,2024/06/05,34567.89,1,34567.89
64,141,3,5,2024/06/05,19876.45,5,99382.25
65,4,18,6,2024/06/07,98765.43,2,197530.86
66,108,44,4,2024/06/07,34567.89,2,69135.78
67,76,4,4,2024/06/06,45678.9,4,182715.6
68,156,47,8,2024/06/06,23456.78,1,23456.78
69,198,50,9,2024/06/05,9876.54,2,19753.08
70,177,36,2,2024/06/06,87654.32,3,262962.96
